Table 1

CONTi
CSUPRTi
DEEMi
DIVERi
EDLOANi
EITCi
ENERGYi
FOSTERi
Gai
OTHERNi
OTHGOVi
OTHUNi
SLFEMPi
SOCSECi
SSIi
TANFi
UNEMPi
VETi
WAGESi
WCOMPi
WGESUPi
