Table 1

ABWDSTi
AGEi
CTZNi
DISi
DPCOSTi
EMPRGi
EMPSTAi
EMPSTBi
FSAFILi
FSUNi
NDISCAi
RACETHi
RELi
SEXi
WORKi
WRKREGi
YRSEDi
