FSTOTDE2,CERTHHSZ,FSSSI,FSGA,FSUNEARN,RAWNET,FSTOTDED,FSASSET,WRK_POOR,FSSLTDE2,SHELDED,FSNETINC,FSEARN,FSGRINC,FSERNDE2,FSDIS,FSUSIZE,RAWERND,FSERNDED,FSSTDDE2,FSWAGES,TANF_IND,TPOV,FSSLTDED,FSTANF,FSNELDER,LIQRESOR,REALPROP,HWGT,FSNONCIT,CAT_ELIG,FSVEHAST,VEHICLEA
394.0,2.0,0.0,0.0,0.0,326.0,394.0,0.0,1.0,91.0,91.0,326.0,720.0,720.0,216.0,0.0,2.0,144.0,144.0,201.0,720.0,0.0,65.0,91.0,0.0,0.0,0.0,0.0,811.9007636838924,0.0,0.0,0.0,1.0
134.0,1.0,0.0,0.0,638.0,504.0,134.0,0.0,0.0,0.0,0.0,504.0,0.0,638.0,0.0,1.0,1.0,0.0,0.0,134.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,869.2314375616089,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
142.0,1.0,0.0,0.0,209.0,109.0,142.0,0.0,1.0,0.0,0.0,109.0,42.0,251.0,8.0,0.0,1.0,8.0,8.0,134.0,42.0,1.0,31.0,0.0,209.0,0.0,0.0,0.0,747.5177605149188,0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
787.0,4.0,0.0,0.0,258.0,157.0,787.0,0.0,1.0,318.0,319.0,159.0,688.0,946.0,205.0,0.0,4.0,138.0,137.0,208.0,688.0,0.0,57.0,318.0,0.0,0.0,0.0,0.0,771.1370055586899,0.0,0.0,0.0,1.0
346.0,4.0,0.0,0.0,363.0,232.0,346.0,0.0,1.0,164.0,164.0,232.0,215.0,578.0,65.0,0.0,4.0,43.0,43.0,209.0,0.0,0.0,35.0,164.0,0.0,0.0,0.0,0.0,795.045049260094,1.0,0.0,0.0,1.0
637.0,3.0,0.0,0.0,0.0,838.0,637.0,0.0,1.0,208.0,209.0,839.0,1476.0,1476.0,442.0,0.0,3.0,295.0,295.0,201.0,1476.0,0.0,107.0,208.0,0.0,0.0,0.0,0.0,978.4363172306392,0.0,0.0,0.0,1.0
607.0,4.0,603.0,0.0,603.0,1339.0,607.0,555.0,1.0,0.0,0.0,1340.0,1344.0,1947.0,268.0,1.0,4.0,269.0,268.0,139.0,1344.0,0.0,117.0,0.0,0.0,0.0,555.0,0.0,1155.8391633729448,0.0,0.0,0.0,1.0
409.0,2.0,0.0,0.0,0.0,967.0,409.0,0.0,1.0,0.0,0.0,967.0,1376.0,1376.0,275.0,0.0,2.0,275.0,275.0,134.0,1376.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,1003.1651133253492,0.0,0.0,0.0,1.0
184.0,5.0,0.0,0.0,184.0,11.0,383.0,5.0,0.0,22.0,11.0,0.0,0.0,184.0,0.0,0.0,5.0,0.0,0.0,44.0,0.0,0.0,9.0,221.0,0.0,0.0,5.0,0.0,747.4949387192786,0.0,0.0,0.0,1.0
441.0,1.0,0.0,0.0,683.0,242.0,441.0,0.0,0.0,307.0,308.0,242.0,0.0,683.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,84.0,307.0,0.0,0.0,0.0,0.0,790.9869308826654,0.0,0.0,0.0,1.0
426.0,5.0,0.0,0.0,0.0,390.0,426.0,0.0,1.0,99.0,110.0,403.0,829.0,829.0,248.0,0.0,5.0,165.0,165.0,243.0,0.0,0.0,43.0,99.0,0.0,0.0,0.0,0.0,878.9891790964731,1.0,0.0,0.0,1.0
134.0,1.0,603.0,0.0,603.0,469.0,134.0,0.0,0.0,0.0,0.0,469.0,0.0,603.0,0.0,1.0,1.0,0.0,0.0,134.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,864.8845205265526,0.0,1.0,0.0,1.0
